split,video_id,calibration_status,residual_median_px,residual_p95_px,ransac_inlier_ratio,black_key_anchor_count,method,notes,json_path,video_path,skipped_existing,elapsed_s
train,2024-02-15_22-57-11,failed,4.3971848487854,188.61033248901367,0.5625,46,white_edge,method=white_edge_correlation we_corr=0.599 we_med=4.40 bk_med=5.53 nc_med=8.99 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_22-57-11.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_22-57-11.mp4,False,3.18
train,2024-02-15_23-14-13,failed,4.570287704467773,189.1760597229004,0.5151515151515151,46,white_edge,method=white_edge_correlation we_corr=0.596 we_med=4.57 bk_med=9.94 nc_med=9.16 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-15_23-14-13.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-15_23-14-13.mp4,False,3.09
train,2024-02-16_14-41-07,failed,5.559626579284668,48.98851814270015,0.5454545454545454,48,white_edge,method=white_edge_correlation we_corr=0.503 we_med=5.56 bk_med=10.15 nc_med=7.60 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-16_14-41-07.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-16_14-41-07.mp4,False,3.13
train,2024-02-16_23-19-03,failed,6.327516078948975,53.54275054931632,0.4838709677419355,45,white_edge,method=white_edge_correlation we_corr=0.486 we_med=6.33 bk_med=9.86 nc_med=7.74 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-16_23-19-03.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-16_23-19-03.mp4,False,3.0
train,2024-02-17_00-12-50,failed,7.020989894866943,56.49914340972896,0.5,43,white_edge,method=white_edge_correlation we_corr=0.447 we_med=7.02 bk_med=9.78 nc_med=8.56 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_00-12-50.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_00-12-50.mp4,False,2.95
train,2024-02-17_00-29-10,failed,4.65700626373291,184.123663330078,0.5,49,white_edge,method=white_edge_correlation we_corr=0.496 we_med=4.66 bk_med=10.86 nc_med=8.75 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_00-29-10.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_00-29-10.mp4,False,2.96
train,2024-02-17_21-37-57,accepted_loose,3.6725385189056396,180.40993881225586,0.375,46,white_edge,method=white_edge_correlation we_corr=0.544 we_med=3.67 bk_med=11.76 nc_med=10.36 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_21-37-57.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_21-37-57.mp4,False,2.86
train,2024-02-17_22-12-41,accepted_loose,3.7312533855438232,182.53188171386708,0.5666666666666667,45,white_edge,method=white_edge_correlation we_corr=0.474 we_med=3.73 bk_med=10.61 nc_med=10.31 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_22-12-41.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_22-12-41.mp4,False,2.86
train,2024-02-17_22-33-45,accepted_loose,3.6159753799438477,199.3725357055664,0.6206896551724138,46,white_edge,method=white_edge_correlation we_corr=0.490 we_med=3.62 bk_med=5.55 nc_med=10.21 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-17_22-33-45.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-17_22-33-45.mp4,False,2.84
train,2024-02-20_18-08-35,accepted_loose,3.400397300720215,114.67481727600074,0.6428571428571429,40,white_edge,method=white_edge_correlation we_corr=0.583 we_med=3.40 bk_med=5.65 nc_med=9.35 v=2026-05-05,/home/achatzigiannis/tivit-logs/manual_training_keyroi_video_06_05_2026/key_geometry/train/2024-02-20_18-08-35.json,/raid_storage/data_achatzigiannis/PianoVAM_v1.0/Video/2024-02-20_18-08-35.mp4,False,2.7
