threshold,metric,metric_value,ev_f1_mean,ev_f1_mean_anypitch,patk_frame_f1,patk_onset_f1,patk_note_f1,pitch_active_precision,pitch_active_recall,pitch_active_f1,pitch_inactive_specificity,pitch_exact_frame_match,pitch_frame_jaccard,pitch_pred_active_per_frame,pitch_gt_active_per_frame,pitch_polyphony_mae
0.3,patk_note_f1,0.005181347072706651,0.0882597472415953,0.21356704367610607,0.06379189310657565,0.005181347072706651,0.005181347072706651,0.032951369480147305,0.9006875477394907,0.06357680106615742,0.057373253057984214,0.0,0.0343532001849356,82.82407407215685,3.0300925925224513,79.90046296111342
0.29,patk_note_f1,0.00517464414011705,0.0882597472415953,0.21356704367610607,0.06396037403739735,0.00517464414011705,0.00517464414011705,0.033179980482355174,0.9090909090839643,0.06402324137140449,0.05535728880048619,0.0,0.034799617526126675,83.02083333141155,3.0300925925224513,80.06018518333194
0.01,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06657342592981857,0.03259827033457815,0.0,0.034432870370361315,0.9999999999923607,0.06657342592981857,0.0,0.0,0.034432870369573314,87.99999999796296,3.0300925925224513,84.96990740544051
0.02,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06657342592981857,0.006335794201709972,0.0,0.034432870370361315,0.9999999999923607,0.06657342592981857,0.0,0.0,0.034432870369573314,87.99999999796296,3.0300925925224513,84.96990740544051
0.03,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06657342592981857,0.012474009266277335,0.0,0.034432870370361315,0.9999999999923607,0.06657342592981857,0.0,0.0,0.034432870369573314,87.99999999796296,3.0300925925224513,84.96990740544051
0.04,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06657342592981857,0.0165118646287552,0.0,0.0344346819592691,0.9999999999923607,0.06657681190881061,5.448552047291948e-05,0.0,0.03443347507563777,87.99537036833344,3.0300925925224513,84.96527777581099
0.05,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06657342592981857,0.022750772337521284,0.0,0.034438305709014884,0.9999999999923607,0.06658358490018179,0.00016345656141875844,0.0,0.03443470583033368,87.9861111090744,3.0300925925224513,84.95601851655194
0.06,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06658189152314917,0.02328042024879522,0.0,0.03444918153586125,0.9999999999923607,0.06660391214517805,0.0004903696842562753,0.0,0.034440345520935285,87.95833333129725,3.0300925925224513,84.9282407387748
0.07,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06661069065187396,0.03448275578034451,0.0,0.03446460072140427,0.9999999999923607,0.06663273033064113,0.0009534966082760909,0.0,0.03444950794480642,87.91898147944632,3.0300925925224513,84.88888888692387
0.08,patk_note_f1,0.0,0.0882597472415953,0.21356704367610607,0.06663951470475434,0.03329633490133685,0.0,0.034460954789747485,0.9992360580519539,0.06662421939873796,0.0016073228539511247,0.0,0.03443585508385895,87.86111110907729,3.0300925925224513,84.83101851655483
