epoch,checkpoint,calibration_path,calibration_onset_open,calibration_offset_open,calibration_ev_f1_mean,eval_ev_f1_mean,eval_ev_f1_mean_anypitch,eval_patk_onset_f1,eval_patk_note_f1,eval_onset_event_f1,eval_offset_event_f1
180,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_180.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_180/calibration.json,0.018,0.02,0.06261564163394502,0.061728348844000476,0.534242110933369,0.038895367257668,0.010112792384303137,0.06286248584312565,0.060594211844875304
120,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_120.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_120/calibration.json,0.013,0.03,0.06613524791689912,0.061683506186698975,0.33064620850453563,0.02411021320836306,0.0045924175713928156,0.06620208780363472,0.05716492456976323
197,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_197.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_197/calibration.json,0.013,0.02,0.05808783413729285,0.06164670538763255,0.5818375578890794,0.04377879768090193,0.011520733165021762,0.06046618808949634,0.06282722268576876
121,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_121.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_121/calibration.json,0.013,0.065,0.06724894555437735,0.06157858489683163,0.2632554793087655,0.021114364549188042,0.004692077159355421,0.06437581278620404,0.05878135700745921
115,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_115.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_115/calibration.json,0.023,0.045,0.0669262824078462,0.061539421937085406,0.21488469341737731,0.020744351333561107,0.008541788795578712,0.06378298715330509,0.059295856720865715
2,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_2.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_002/calibration.json,0.008,0.001,0.06166476761420221,0.061483233167953136,0.7090096083366698,0.05093167202800095,0.0037267030844941626,0.08639999628895452,0.03656647004695175
189,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_189.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_189/calibration.json,0.018,0.02,0.06117701921434898,0.06129173302090947,0.5290920519258118,0.03836930029829741,0.007993600858094372,0.06338526676926122,0.059198199272557726
134,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_134.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_134/calibration.json,0.018,0.035,0.06116460765669331,0.06125328494587874,0.326086953070282,0.0294565721818824,0.007110203467028004,0.06732262757149508,0.05518394232026241
145,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_145.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_145/calibration.json,0.023,0.04,0.06450790888194909,0.06119315094284446,0.32746436344855334,0.03428055478308591,0.007216955324604291,0.0711261608684086,0.051260141017280304
170,/home/achatzigiannis/tivit-logs/manual_training/checkpoints/epoch_170.pt,/home/achatzigiannis/tivit-logs/manual_training/sweeps/lowlogit_v1/epoch_170/calibration.json,0.018,0.015,0.06285644136099715,0.06108777420677708,0.4931581752437665,0.042649723223865864,0.009074405619816603,0.06523604874607852,0.05693949966747563
